foram ordenadas 78444 palavras
ocorrencias de ANYTHING: 8
ocorrencias de ANYWHERE: 2
ocorrencias de APART: 2
ocorrencias de APARTMENT: 9
ocorrencias de APARTMENTS: 1
ocorrencias de APATHY: 1
ocorrencias de APOTHECARY: 1
ocorrencias de APPALLING: 5
ocorrencias de APPARATUS: 3
ocorrencias de APPAREL: 2
ocorrencias de APPARENT: 5
ocorrencias de APPARENTLY: 10
ocorrencias de APPARITION: 5
ocorrencias de APPEAL: 1
ocorrencias de APPEALS: 1
ocorrencias de APPEAR: 23
ocorrencias de APPEARANCE: 30
ocorrencias de APPEARANCES: 4
ocorrencias de APPEARED: 57
ocorrencias de APPEARING: 2
ocorrencias de APPEARS: 8
ocorrencias de APPEASED: 1
ocorrencias de APPERTAINING: 2
ocorrencias de APPETITE: 4
ocorrencias de APPLE: 1
ocorrencias de APPLICABLE: 3
ocorrencias de APPLICATION: 7
ocorrencias de APPLIED: 5
ocorrencias de APPLY: 8
ocorrencias de APPOINTMENT: 1
ocorrencias de APPRECIATE: 1
ocorrencias de APPREHENDED: 1
ocorrencias de APPREHENDING: 1
ocorrencias de APPREHENSION: 4
ocorrencias de APPREHENSIONS: 2
ocorrencias de APPROACH: 11
ocorrencias de APPROACHED: 19
ocorrencias de APPROACHING: 3
ocorrencias de APPROBATION: 2
ocorrencias de APPROPRIATED: 1
ocorrencias de APPROVE: 2
ocorrencias de APPROVED: 1
ocorrencias de APT: 1
ocorrencias de ARAB: 1
ocorrencias de ARABIAN: 13
ocorrencias de ARABIC: 2
ocorrencias de ARBITERS: 1
ocorrencias de ARCH: 2
ocorrencias de ARCHANGEL: 5
ocorrencias de ARCHIVE: 13
ocorrencias de ARDENT: 10
ocorrencias de ARDENTLY: 10
ocorrencias de ARDOUR: 13
ocorrencias de ARDUOUS: 1
ocorrencias de ARE: 195
ocorrencias de ARGUE: 1
ocorrencias de ARGUMENT: 2
ocorrencias de ARGUMENTS: 7
ocorrencias de ARIGHT: 1
ocorrencias de ARIOSTO: 1
ocorrencias de ARISE: 6
ocorrencias de ARISEN: 1
ocorrencias de ARISING: 1
ocorrencias de ARM: 6
ocorrencias de ARMADA: 1
ocorrencias de ARMED: 1
ocorrencias de ARMS: 9
ocorrencias de AROSE: 9
ocorrencias de AROUND: 34
ocorrencias de AROUSED: 1
ocorrencias de ARRANGE: 2
ocorrencias de ARRANGED: 4
ocorrencias de ARRANGEMENTS: 1
ocorrencias de ARRANGING: 6
ocorrencias de ARRAY: 1
ocorrencias de ARREST: 1
ocorrencias de ARRESTED: 1
ocorrencias de ARRIVAL: 8
ocorrencias de ARRIVE: 12
ocorrencias de ARRIVED: 29
ocorrencias de ARRIVES: 1
ocorrencias de ARRIVING: 1
ocorrencias de ARROW: 1
ocorrencias de ARROWY: 1
ocorrencias de ART: 7
ocorrencias de ARTERIES: 1
ocorrencias de ARTERY: 1
ocorrencias de ARTHUR: 2
ocorrencias de ARTICLE: 1
ocorrencias de ARTICLES: 1
ocorrencias de ARTICULATE: 2
ocorrencias de ARTIFICE: 1
ocorrencias de ARTIST: 1
ocorrencias de ARTS: 2
ocorrencias de ARVE: 3
ocorrencias de ARVEIRON: 1
ocorrencias de AS: 539
ocorrencias de ASCEND: 5
ocorrencias de ASCENDED: 4
ocorrencias de ASCENT: 3
ocorrencias de ASCERTAIN: 1
ocorrencias de ASCERTAINING: 1
ocorrencias de ASCII: 2
ocorrencias de ASCRIBED: 2
ocorrencias de ASHAMED: 1
ocorrencias de ASHES: 2
ocorrencias de ASIA: 2
ocorrencias de ASIATICS: 1
ocorrencias de ASIDE: 4
ocorrencias de ASK: 10
ocorrencias de ASKED: 16
ocorrencias de ASKS: 1
ocorrencias de ASLEEP: 2
ocorrencias de ASPECT: 7
ocorrencias de ASPIRATIONS: 1
ocorrencias de ASPIRE: 1
ocorrencias de ASPIRED: 1
ocorrencias de ASPIRES: 1
ocorrencias de ASS: 2
ocorrencias de ASSAILED: 1
ocorrencias de ASSASSIN: 2
ocorrencias de ASSASSINATED: 1
ocorrencias de ASSEMBLAGE: 2
ocorrencias de ASSEMBLAGES: 1
ocorrencias de ASSEMBLANCE: 1
ocorrencias de ASSEMBLED: 1
ocorrencias de ASSERTED: 1
ocorrencias de ASSERTION: 2
ocorrencias de ASSEVERATIONS: 1
ocorrencias de ASSIGNED: 1
ocorrencias de ASSIST: 6
ocorrencias de ASSISTANCE: 4
ocorrencias de ASSISTANTS: 1
ocorrencias de ASSISTED: 3
ocorrencias de ASSISTING: 1
ocorrencias de ASSIZES: 1
ocorrencias de ASSOCIATE: 2
ocorrencias de ASSOCIATED: 11
ocorrencias de ASSOCIATES: 1
ocorrencias de ASSOCIATION: 1
ocorrencias de ASSUAGE: 1
ocorrencias de ASSUME: 1
ocorrencias de ASSUMED: 5
ocorrencias de ASSURANCE: 1
ocorrencias de ASSURANCES: 1
ocorrencias de ASSURE: 5
ocorrencias de ASSURED: 11
ocorrencias de ASSUREDLY: 4
ocorrencias de ASSURES: 1
ocorrencias de ASTONISHED: 3
ocorrencias de ASTONISHING: 8
ocorrencias de ASTONISHMENT: 6
ocorrencias de ASTOUNDED: 1
ocorrencias de ASTOUNDING: 1
ocorrencias de ASYLUM: 4
ocorrencias de AT: 332
ocorrencias de ATE: 4
ocorrencias de ATLANTIC: 1
ocorrencias de ATMOSPHERE: 3
ocorrencias de ATONE: 1
ocorrencias de ATROCIOUS: 1
ocorrencias de ATTACH: 1
ocorrencias de ATTACHED: 7
ocorrencias de ATTACHMENT: 5
ocorrencias de ATTACK: 1
ocorrencias de ATTACKED: 2
ocorrencias de ATTACKS: 1
ocorrencias de ATTAIN: 1
ocorrencias de ATTAINED: 1
ocorrencias de ATTAINMENT: 1
ocorrencias de ATTEMPT: 10
ocorrencias de ATTEMPTED: 9
ocorrencias de ATTEMPTS: 3
ocorrencias de ATTEND: 6
ocorrencias de ATTENDANCE: 1
ocorrencias de ATTENDANT: 3
ocorrencias de ATTENDANTS: 2
ocorrencias de ATTENDED: 9
ocorrencias de ATTENDING: 4
ocorrencias de ATTENDS: 1
ocorrencias de ATTENTION: 22
ocorrencias de ATTENTIONS: 4
ocorrencias de ATTENTIVE: 2
ocorrencias de ATTENTIVELY: 3
ocorrencias de ATTEST: 1
ocorrencias de ATTITUDE: 2
ocorrencias de ATTRACT: 1
ocorrencias de ATTRACTED: 6
ocorrencias de ATTRACTIONS: 1
ocorrencias de ATTRACTIVE: 2
ocorrencias de ATTRACTS: 1
ocorrencias de ATTRIBUTED: 4
ocorrencias de AUDIBLE: 2
ocorrencias de AUDIBLY: 1
ocorrencias de AUDITOR: 1
ocorrencias de AUGHT: 2
ocorrencias de AUGMENTED: 4
ocorrencias de AUGMENTING: 1
ocorrencias de AUGURIES: 1
ocorrencias de AUGURY: 1
ocorrencias de AUGUST: 6
ocorrencias de AUNT: 9
ocorrencias de AUSTRIA: 1
ocorrencias de AUSTRIAN: 1
ocorrencias de AUTHOR: 6
ocorrencias de AUTHORITY: 1
ocorrencias de AUTHORS: 5
ocorrencias de AUTUMN: 5
ocorrencias de AVAIL: 3
ocorrencias de AVAILABLE: 2
ocorrencias de AVAILED: 1
ocorrencias de AVALANCHE: 5
ocorrencias de AVENGE: 1
ocorrencias de AVENUE: 1
ocorrencias de AVERRED: 1
ocorrencias de AVERSE: 2
ocorrencias de AVERSION: 1
ocorrencias de AVERT: 2
ocorrencias de AVIDITY: 1
ocorrencias de AVOID: 6
ocorrencias de AVOIDED: 3
ocorrencias de AVOW: 1
ocorrencias de AVOWAL: 1
ocorrencias de AVOWED: 1
ocorrencias de AWAIT: 2
ocorrencias de AWAITING: 1
ocorrencias de AWAKE: 4
ocorrencias de AWAKEN: 2
ocorrencias de AWAKENED: 3
ocorrencias de AWAKING: 1
ocorrencias de AWARD: 1
ocorrencias de AWARE: 1
ocorrencias de AWAY: 53
ocorrencias de AWE: 2
ocorrencias de AWFUL: 3
ocorrencias de AWOKE: 15
ocorrencias de AY: 4
ocorrencias de B: 3
ocorrencias de BABE: 1
ocorrencias de BABES: 1
ocorrencias de BACK: 15
ocorrencias de BACKS: 1
ocorrencias de BAD: 1
ocorrencias de BADE: 4
ocorrencias de BAFFLED: 2
ocorrencias de BALANCED: 2
ocorrencias de BALANCING: 1
ocorrencias de BALL: 1
ocorrencias de BALLOTS: 1
ocorrencias de BALMINESS: 1
ocorrencias de BALMY: 1
ocorrencias de BAN: 1
ocorrencias de BANISH: 3
ocorrencias de BANISHED: 5
ocorrencias de BANKER: 1
ocorrencias de BANKS: 8
ocorrencias de BARBARITY: 2
ocorrencias de BARBAROUS: 3
ocorrencias de BARBAROUSLY: 1
ocorrencias de BARE: 7
ocorrencias de BARED: 1
ocorrencias de BARKS: 1
ocorrencias de BARN: 2
ocorrencias de BARRED: 4
ocorrencias de BARREN: 3
ocorrencias de BARRICADE: 1
ocorrencias de BARRIER: 4
ocorrencias de BARRIERS: 1
ocorrencias de BASE: 6
ocorrencias de BASED: 2
ocorrencias de BASEST: 1
ocorrencias de BASKET: 3
ocorrencias de BAT: 1
ocorrencias de BATHED: 1
ocorrencias de BATHS: 1
ocorrencias de BAUBLE: 1
ocorrencias de BE: 379
ocorrencias de BEACH: 5
ocorrencias de BEAM: 1
ocorrencias de BEAMING: 2
ocorrencias de BEAR: 6
ocorrencias de BEARING: 3
ocorrencias de BEARS: 2
ocorrencias de BEAST: 3
ocorrencias de BEASTS: 1
ocorrencias de BEAT: 5
ocorrencias de BEATEN: 2
ocorrencias de BEAUFORT: 7
ocorrencias de BEAUTIES: 3
ocorrencias de BEAUTIFUL: 28
ocorrencias de BEAUTY: 27
ocorrencias de BECAME: 61
ocorrencias de BECAUSE: 18
ocorrencias de BECOME: 33
ocorrencias de BECOMES: 2
ocorrencias de BECOMING: 4
ocorrencias de BED: 15
ocorrencias de BEDEWED: 1
ocorrencias de BEDIM: 1
ocorrencias de BEDROOM: 1
ocorrencias de BEDS: 1
ocorrencias de BEDSIDE: 1
ocorrencias de BEEN: 190
ocorrencias de BEFALL: 1
ocorrencias de BEFALLEN: 3
ocorrencias de BEFITTING: 4
ocorrencias de BEFORE: 148
ocorrencias de BEG: 2
ocorrencias de BEGAN: 28
ocorrencias de BEGGAR: 2
ocorrencias de BEGGARS: 1
ocorrencias de BEGGED: 1
ocorrencias de BEGIN: 6
ocorrencias de BEGINNING: 9
ocorrencias de BEGINS: 1
ocorrencias de BEGONE: 7
ocorrencias de BEGUN: 2
ocorrencias de BEHALF: 1
ocorrencias de BEHAVIOUR: 2
ocorrencias de BEHELD: 31
ocorrencias de BEHIND: 11
ocorrencias de BEHOLD: 13
ocorrencias de BEHOLDING: 3
ocorrencias de BEING: 97
ocorrencias de BEINGS: 22
ocorrencias de BELIEF: 3
ocorrencias de BELIEVE: 33
ocorrencias de BELIEVED: 13
ocorrencias de BELIEVES: 4
ocorrencias de BELIEVING: 2
ocorrencias de BELONG: 1
ocorrencias de BELONGED: 4
ocorrencias de BELONGING: 4
ocorrencias de BELONGS: 1
ocorrencias de BELOVED: 26
ocorrencias de BELOW: 6
ocorrencias de BELRIVE: 4
ocorrencias de BEND: 3
ocorrencias de BENDING: 1
ocorrencias de BENEATH: 11
ocorrencias de BENEFACTOR: 3
ocorrencias de BENEFACTORS: 2
ocorrencias de BENEFICENCE: 1
ocorrencias de BENEFICIAL: 2
ocorrencias de BENEFIT: 7
ocorrencias de BENEFITS: 1
ocorrencias de BENEVOLENCE: 7
ocorrencias de BENEVOLENT: 14
ocorrencias de BENEVOLENTLY: 1
ocorrencias de BENIGNITY: 2
ocorrencias de BENT: 9
ocorrencias de BENUMBED: 1
ocorrencias de BERNARD: 1
ocorrencias de BERRIES: 6
ocorrencias de BESIDE: 7
ocorrencias de BESIDES: 13
ocorrencias de BESIEGED: 1
ocorrencias de BESOUGHT: 1
ocorrencias de BESPOKE: 1
ocorrencias de BEST: 12
ocorrencias de BESTOW: 14
ocorrencias de BESTOWED: 13
ocorrencias de BESTOWING: 3
ocorrencias de BETOOK: 1
ocorrencias de BETRAY: 2
ocorrencias de BETRAYED: 2
ocorrencias de BETTER: 13
ocorrencias de BETWEEN: 20
ocorrencias de BEWARE: 2
ocorrencias de BEWILDERED: 4
ocorrencias de BEYOND: 8
ocorrencias de BID: 2
ocorrencias de BIDDING: 1
ocorrencias de BIDS: 1
ocorrencias de BIER: 1
ocorrencias de BILL: 1
ocorrencias de BINARY: 1
ocorrencias de BIND: 1
ocorrencias de BINDING: 1
ocorrencias de BIRD: 1
ocorrencias de BIRDS: 5
ocorrencias de BIRON: 1
ocorrencias de BIRTH: 8
ocorrencias de BITTER: 16
ocorrencias de BITTEREST: 3
ocorrencias de BITTERLY: 10
ocorrencias de BITTERNESS: 8
ocorrencias de BLACK: 17
ocorrencias de BLACKBIRD: 1
ocorrencias de BLACKEST: 1
ocorrencias de BLACKNESS: 1
ocorrencias de BLAMABLE: 1
ocorrencias de BLAME: 1
ocorrencias de BLAMELESS: 1
ocorrencias de BLANC: 8
ocorrencias de BLANKETS: 1
ocorrencias de BLAST: 5
ocorrencias de BLASTED: 8
ocorrencias de BLEAK: 4
ocorrencias de BLEAKNESS: 1
ocorrencias de BLESS: 6
ocorrencias de BLESSED: 6
ocorrencias de BLESSING: 4
ocorrencias de BLESSINGS: 2
ocorrencias de BLEW: 1
ocorrencias de BLIGHT: 2
ocorrencias de BLIND: 10
ocorrencias de BLINDED: 2
ocorrencias de BLINDNESS: 1
ocorrencias de BLISS: 3
ocorrencias de BLOOD: 19
ocorrencias de BLOODLESS: 1
ocorrencias de BLOODSHED: 1
ocorrencias de BLOODY: 1
ocorrencias de BLOOM: 3
ocorrencias de BLOOMED: 2
ocorrencias de BLOOMING: 4
ocorrencias de BLOSSOM: 1
ocorrencias de BLOT: 2
ocorrencias de BLOTTED: 1
ocorrencias de BLOW: 4
ocorrencias de BLOWS: 3
ocorrencias de BLUE: 11
ocorrencias de BLUNT: 2
ocorrencias de BOARD: 6
ocorrencias de BOARDER: 1
ocorrencias de BOAST: 3
ocorrencias de BOAT: 17
ocorrencias de BOATS: 2
ocorrencias de BODIES: 3
ocorrencias de BODILY: 4
ocorrencias de BODY: 23
ocorrencias de BOILS: 1
ocorrencias de BOLD: 2
ocorrencias de BOLT: 2
ocorrencias de BOLTS: 1
ocorrencias de BONDAGE: 1
ocorrencias de BONDS: 3
ocorrencias de BONE: 1
ocorrencias de BONES: 1
ocorrencias de BOOK: 6
ocorrencias de BOOKS: 12
ocorrencias de BORE: 7
ocorrencias de BORN: 4
ocorrencias de BORNE: 6
ocorrencias de BOSOM: 9
ocorrencias de BOSOMS: 1
ocorrencias de BOSS: 2
ocorrencias de BOTH: 10
ocorrencias de BOTTOM: 4
ocorrencias de BOUGHT: 3
ocorrencias de BOUND: 17
ocorrencias de BOUNDARIES: 2
ocorrencias de BOUNDARY: 5
ocorrencias de BOUNDED: 3
ocorrencias de BOUNDING: 2
ocorrencias de BOUNDLESS: 3
ocorrencias de BOUNDS: 6
ocorrencias de BOUNTY: 1
ocorrencias de BOURNE: 1
ocorrencias de BOWING: 1
ocorrencias de BOY: 7
ocorrencias de BOYHOOD: 2
ocorrencias de BRACES: 1
ocorrencias de BRAIDED: 1
ocorrencias de BRAIN: 1
ocorrencias de BRAKE: 1
ocorrencias de BRAMBLES: 1
ocorrencias de BRANCH: 4
ocorrencias de BRANCHES: 12
ocorrencias de BRAND: 1
ocorrencias de BRANDY: 1
ocorrencias de BRAVE: 3
ocorrencias de BRAWLING: 1
ocorrencias de BREACH: 2
ocorrencias de BREAD: 4
ocorrencias de BREAK: 4
ocorrencias de BREAKERS: 1
ocorrencias de BREAKFAST: 5
ocorrencias de BREAKING: 3
ocorrencias de BREAST: 3
ocorrencias de BREATH: 2
ocorrencias de BREATHE: 3
ocorrencias de BREATHED: 4
ocorrencias de BREATHLESS: 3
ocorrencias de BRED: 1
ocorrencias de BREEZE: 10
ocorrencias de BREEZES: 2
ocorrencias de BRETHREN: 1
ocorrencias de BRIDAL: 1
ocorrencias de BRIDE: 1
ocorrencias de BRIDES: 1
ocorrencias de BRIDGE: 1
ocorrencias de BRIEFLY: 2
ocorrencias de BRIGHT: 7
ocorrencias de BRIGHTEST: 1
ocorrencias de BRIGHTLY: 1
ocorrencias de BRIGHTNESS: 2
ocorrencias de BRILLIANT: 1
ocorrencias de BRING: 3
ocorrencias de BRINGING: 1
ocorrencias de BRINK: 3
ocorrencias de BRITAIN: 2
ocorrencias de BROAD: 2
ocorrencias de BROKE: 5
ocorrencias de BROKEN: 12
ocorrencias de BROODED: 2
ocorrencias de BROODING: 1
ocorrencias de BROOK: 2
ocorrencias de BROTHER: 24
ocorrencias de BROTHERLY: 1
ocorrencias de BROTHERS: 5
ocorrencias de BROUGHT: 28
ocorrencias de BROW: 1
ocorrencias de BROWS: 1
ocorrencias de BRUISED: 1
ocorrencias de BRUTALITY: 2
ocorrencias de BRUTE: 1
ocorrencias de BUD: 2
